,Open,GBM_lower_bound,GBM_upper_bound,Year,Month,Day,Close
0,23032.45,22800.130308807245,23267.091470397107,2024,5,27,22932.55
1,22930.75,22697.35370952474,23155.461673590853,2024,5,24,22957.10
2,22614.1,22412.978315007793,22873.041725558185,2024,5,23,22967.65
3,22576.6,22391.520834190454,22825.225434816308,2024,5,22,22597.80
4,22404.55,22189.921801551263,22612.719878494237,2024,5,21,22529.05
5,22512.85,22315.10045359024,22757.232904023625,2024,5,18,22502.00
6,22415.25,22168.275036591705,22619.53471414572,2024,5,17,22466.10
7,22319.2,22084.769717241128,22547.500216761226,2024,5,16,22403.85
8,22255.6,22053.053401885267,22491.252286054965,2024,5,15,22200.55
9,22112.9,21893.200456552808,22353.520701940306,2024,5,14,22217.85
10,22027.95,21807.286159720992,22234.866907921856,2024,5,13,22104.05
11,21990.95,21773.37669306957,22222.075083271433,2024,5,10,22055.20
12,22224.8,22026.936948702292,22457.572946800483,2024,5,9,21957.50
13,22231.2,22010.3694614445,22470.16076684988,2024,5,8,22302.50
14,22489.75,22280.074368112608,22705.746726027286,2024,5,7,22302.50
15,22561.6,22367.882477041414,22790.811789275762,2024,5,6,22442.70
16,22766.35,22570.98343240067,23029.894433109035,2024,5,3,22475.85
17,22567.85,22356.62251592963,22805.660034294106,2024,5,2,22648.20
18,22679.65,22455.24638053914,22902.276797599356,2024,4,30,22604.85
19,22475.55,22284.696292686145,22712.95836348676,2024,4,29,22643.40
20,22620.4,22413.111098785706,22863.927008538227,2024,4,26,22419.95
21,22316.9,22090.659849360905,22561.163483322915,2024,4,25,22570.35
22,22421.55,22202.21623230948,22652.432582028843,2024,4,24,22402.40
23,22447.05,22226.385569235732,22692.385066747065,2024,4,23,22368.00
24,22336.9,22140.367125360615,22595.855634503267,2024,4,22,22336.40
25,21861.5,21668.162102785296,22106.21254203778,2024,4,19,22147.00
26,22212.35,22008.067653159727,22436.878938153222,2024,4,18,21995.85
27,22125.3,21933.52151624044,22372.005407300127,2024,4,16,22147.90
28,22339.05,22117.178220912116,22579.24583651153,2024,4,15,22272.50
29,22677.4,22459.747661561636,22895.333717267473,2024,4,12,22519.40
